"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","Bug是否典型(test)","Bug是否典型(dev)","frequency
    steps","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"14929","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议模式】长时间录音有概率会出现图标一直转圈，然后停止后没有会议生成","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-18","Fama_V1.0.0_20260529[0](#1268)","李贯涛","2026-06-18","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14924","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【语音控制】会议模式下，使用语音控制来切换到报告模式和会议模式时，不手动停止会议和报告模式，转写记录和会议纪要不会保存中间切换的历史","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-18","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-18","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14916","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议纪要】卡住一直在生成中的会议纪要删除不掉，重试也无法成功","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-17","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-17","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-18","",""
"14912","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议纪要】总结没有失败状态一直是生成中","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-17","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-17","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-17","",""
"14907","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【对接管理】openapi的asr.stream接口不可用提示配置缺失","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-17","Fama_V1.0.0_20260529[0](#1268)","李贯涛","2026-06-17","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14899","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【工作流】默认的系统工作流可以删除，删除之后无法创建新的工作流来绑定，建议把预置的系统工作流设置为不可删除","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-16","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-18","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-18","",""
"14896","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【普通版】控制指令库操作界面默认附加和当前分组，标识叠加在一起了","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-16","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-16","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-16","",""
"14895","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【易用性】工作流管理里面的唤醒词识别，也无法添加第四个同音易错词，无法换行","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-15","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-15","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-16","",""
"14894","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【语音控制】会议模式下，使用语音控制来切换到报告模式时，报告模式的转写记录就不进行更新了","","一般","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-15","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-18","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-18","",""
"14889","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【工作流管理】新增工作流的时候创建归属只能看见一个看不见另外一个，因为组件和字体颜色问题看不到字","","建议","3","代码错误","","","tentative","tentative","","激活","0000-00-00","0","否","","刘梦帆","2026-06-15","Fama_V1.0.0_20260612[1](#1275)","李贯涛","2026-06-18","","","","0000-00-00","","0000-00-00","0","","","刘梦帆","2026-06-18","",""
