"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","Bug是否典型(test)","Bug是否典型(dev)","frequency
    steps","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"14854","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【普通版】语气词库操作界面默认叠加和当前词库，标识叠加在一起了","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-11","Fama_V1.0.0_20260529[0](#1268)","李贯涛","2026-06-11","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14853","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【普通版】普通版本有llm纠错节点，但是配置后提示错误无法正确调用","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-11","Fama_V1.0.0_20260529[0](#1268)","李贯涛","2026-06-11","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14852","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【权限控制】普通版本点击到节点管理虽然没有语音控制节点，但是进去会报错","","一般","3","代码错误","","","tentative","","","激活","0000-00-00","0","否","","刘梦帆","2026-06-11","Fama_V1.0.0_20260529[0](#1268)","李贯涛","2026-06-11","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14838","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【术语库管理】选择到纠错规则后左边的词典列表会布局挤在一起","","一般","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-10","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","[F]表格列宽自适应-调整窗口-字段完整排列不重叠(121458)","李贯涛","2026-06-11","",""
"14835","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议纪要】失败的会议总结失败次数不对","","一般","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-10","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","","李贯涛","2026-06-11","",""
"14833","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【批量语音转换】批量进行语音转文字测试CER，会出现不断重复文字的541份数据平均会出现3次幻觉","","一般","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-10","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","","李贯涛","2026-06-11","",""
"14829","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议纪要】极长会议音频数小时-生成摘要-摘要生成失败，但是界面没有重试操作 而且自动重试也没有触发","","一般","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-10","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","[F]极长会议音频数小时-生成摘要-摘要生成和处理正常(121525)","李贯涛","2026-06-11","",""
"14827","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【客户端】目前没有开机自启开关设置建议增加一个","","建议","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-10","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","","李贯涛","2026-06-11","",""
"14826","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【客户端-会议纪要】生成会议纪要时模型调用失败，修改总结地址后不会同步到客户端","","建议","3","代码错误","","","tentative","tentative","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-09","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","","李贯涛","2026-06-11","",""
"14825","语音转写 会议纪要生成软件(#499)","/(#0)","语音转写 会议纪要生成软件(#228)","","","【会议纪要】搜索框输入状态无法进行搜索，预期可以搜索","","一般","3","代码错误","","","tentative","no","","已解决","0000-00-00","0","是","","刘梦帆","2026-06-09","Fama_V1.0.0_20260529[0](#1268)","李泽峰","2026-06-11","李贯涛","已解决","Fama_V1.0.0_20260529[0](#1268)","2026-06-11","","0000-00-00","0","","[F]搜索框输入特殊字符-搜索-搜索正常处理(121485)","李贯涛","2026-06-11","",""
